code,chapter,fromVerse,toVerse,title,reason
PSA,69,2,1,O lamento do Messias,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,70,2,1,Petição por auxílio divino,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,75,2,1,Deus é juiz,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,76,2,1,A majestade e o poder de Deus,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,77,2,1,As grandes obras e a misericórdia de Deus,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,80,2,1,Pedindo restaurações,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,81,2,1,Exortação a louvor e obediência,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,83,2,1,Julgamento de Deus contra as nações inimigas,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,84,2,1,Saudades do templo,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,85,2,1,Pede-se o perdão de Deus,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,88,2,1,Lamentação de um atribulado,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,89,2,1,Promessa do reino messiânico a Davi,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,92,2,1,Hino de gratidão a Deus,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,102,2,1,Arrependimento e esperança,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,108,2,1,Deus concede vitória ao seu povo,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,140,2,1,Contra inimigos e perfídias,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,142,2,1,Oração no meio de grande perigo,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
