code,chapter,title,jsonVerse,txtVerse,araVerse,recommendedVerse,verdict,source,url
2SA,20,"Oficiais de Davi",23,2,13,13,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2sa/20
2SA,21,"Gigantes mortos pelos homens de Davi",15,1,30,1,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2sa/21
2SA,23,"Os valentes de Davi",8,1,6,6,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2sa/23
2SA,24,"Davi escolhe o castigo",10,1,7,7,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2sa/24
2SA,24,"Davi erige um altar na eira de Araúna",18,1,30,1,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2sa/24
1KI,3,"Salomão pede a Deus sabedoria",3,2,5,5,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/3
1KI,4,"A sabedoria de Salomão",9,29,10,10,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/4
1KI,5,"Salomão faz aliança com Hirão",15,2,22,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/1ki/5
1KI,5,"Os preparativos para edificar o templo",27,2,24,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/1ki/5
1KI,6,"Salomão edifica o templo",1,2,2,2,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/6
1KI,6,"Os dois querubins",23,2,20,20,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/6
1KI,7,"As duas colunas do templo",15,2,2,2,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/7
1KI,7,"O mar de fundição",23,2,2,2,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/7
1KI,7,"Outros utensílios para o templo",27,2,26,26,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/7
1KI,7,"As dádivas de Davi colocadas no templo",51,2,12,12,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/7
1KI,8,"Salomão traz para o templo a arca",1,2,15,15,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/8
1KI,8,"Salomão fala ao povo",12,2,13,13,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/8
1KI,8,"Salomão ora a Deus",22,2,2,2,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/8
1KI,8,"A conclusão da solenidade",62,2,6,6,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/8
1KI,9,"A aliança do Senhor com Salomão",1,2,15,15,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/9
1KI,9,"As demais atividades de Salomão",10,2,8,8,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/9
1KI,10,"A rainha de Sabá visita a Salomão",1,2,14,14,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/10
1KI,10,"As riquezas de Salomão",14,2,19,19,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/10
1KI,11,"A morte de Salomão",41,2,9,9,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/11
1KI,12,"Roboão causa separação entre as tribos",1,2,1,1,json_ok,txt_ara,https://www.bibliaonline.com.br/ara/1ki/12
1KI,12,"Dez tribos seguem Jeroboão",16,2,8,8,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/12
1KI,14,"""O reinado de Roboão, de Judá""",21,2,8,8,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/14
1KI,15,"""O reinado de Abias, de Judá""",1,2,1,1,json_ok,txt_ara,https://www.bibliaonline.com.br/ara/1ki/15
1KI,15,"""O reinado de Asa, de Judá""",9,2,15,15,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/15
1KI,22,"""Aliança entre Josafá, de Judá, e Acabe""",1,2,,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/1ki/22
1KI,22,"As profecias dos falsos profetas",5,2,16,16,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/22
1KI,22,"A profecia de Micaías",13,2,7,7,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/22
1KI,22,"A morte de Acabe",29,2,8,8,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/22
1KI,22,"O reinado e a morte de Josafá",41,2,19,19,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/22
1KI,22,"""O reinado de Acazias, de Israel""",53,52,5,5,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/22
2KI,5,"Geazi é atacado de lepra",19,20,40,20,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2ki/5
2KI,8,"O reinado de Jeorão",16,2,4,4,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/8
2KI,8,"O reinado de Acazias",25,2,17,17,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/8
2KI,11,"Atalia usurpa o trono de Judá",1,2,3,3,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/11
2KI,11,"Joás ungido rei de Judá",4,2,3,3,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/11
2KI,11,"A morte de Atalia",13,2,28,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2ki/11
2KI,11,"A aliança de Joiada",17,2,36,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2ki/11
2KI,12,"A conspiração contra o rei Joás",21,2,3,3,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/12
2KI,14,"""O reinado de Amazias, de Judá""",1,2,7,7,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/14
2KI,14,"Amazias vence os edomitas",7,2,22,22,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/14
2KI,14,"Amazias derrotado por Jeoás",8,2,26,26,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/14
2KI,14,"""A morte de Amazias, rei de Judá""",17,2,47,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2ki/14
2KI,15,"""O reinado de Azarias, de Judá""",1,2,11,11,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/15
2KI,15,"Azarias é atacado de lepra",5,2,20,20,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/15
2KI,15,"""O reinado de Jotão, de Judá""",32,2,1,1,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/15
2KI,16,"""O reinado de Acaz, de Judá""",1,2,13,13,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/16
2KI,16,"A idolatria de Acaz",10,2,4,4,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/16
2KI,16,"A morte de Acaz",19,2,43,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2ki/16
2KI,18,"""O reinado de Ezequias, de Judá""",1,2,4,4,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/18
2KI,18,"Senaqueribe invade Judá",13,2,2,2,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/18
2KI,18,"Rabsaqué afronta a Ezequias e ao SENHOR",19,2,15,15,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/18
2KI,19,"A destruição do exército dos assírios",35,2,19,19,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/19
2KI,20,"A doença de Ezequias e a sua cura maravilhosa",1,2,1,1,json_ok,txt_ara,https://www.bibliaonline.com.br/ara/2ki/20
2KI,20,"A morte de Ezequias",20,2,15,15,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/20
2KI,21,"""O reinado de Manassés, de Judá""",1,2,1,1,json_ok,txt_ara,https://www.bibliaonline.com.br/ara/2ki/21
2KI,21,"A morte de Manassés",17,2,4,4,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/21
2KI,21,"""O reinado de Amom, de Judá""",19,2,6,6,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/21
2KI,22,"O reinado de Josias",1,2,19,19,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/22
2KI,22,"O rei repara o templo",3,2,1,1,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/22
2KI,22,"Hilquias acha o Livro da Lei",8,2,1,1,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/22
2KI,22,"Josias manda consultar a profetisa Hulda",11,2,,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2ki/22
2KI,23,"A purificação do templo e do culto",4,2,46,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2ki/23
2KI,23,"A celebração da Páscoa",21,2,1,1,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/23
2KI,23,"A morte de Josias",28,2,19,19,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/23
2KI,23,"O reinado e deposição de Joacaz",31,2,27,27,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/23
2KI,23,"O reinado de Jeoaquim",36,2,8,8,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/23
2KI,24,"O reinado de Joaquim",8,2,14,14,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ki/24
2KI,24,"O reinado de Zedequias",18,2,32,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2ki/24
2KI,25,"O cativeiro de Judá",8,2,8,8,json_ok,txt_ara,https://www.bibliaonline.com.br/ara/2ki/25
1CH,3,"Filhos de Davi",1,2,36,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/1ch/3
1CH,6,"Descendentes de Levi",27,1,19,27,json_ok,genealogia_meio_capitulo,https://www.bibliaonline.com.br/ara/1ch/6
1CH,6,"Cantores levitas",16,31,23,23,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ch/6
1CH,6,"Descendentes de Arão",34,49,1,1,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ch/6
1CH,6,"As cidades dos levitas",39,54,5,5,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ch/6
1CH,10,"A sepultura de Saul",8,1,19,1,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/1ch/10
1CH,11,"Davi é ungido rei",1,2,3,3,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ch/11
1CH,11,"Davi conquista a Sião",4,2,8,8,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ch/11
1CH,11,"Os valentes de Davi",10,2,19,19,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ch/11
1CH,12,"O exército que proclamou a Davi rei em Hebrom",24,23,10,10,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ch/12
1CH,13,"Davi procura trazer a arca",5,2,23,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/1ch/13
1CH,14,"O reinado de Davi reconhecido por Hirão",1,2,10,10,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ch/14
1CH,14,"Os filhos de Davi que nasceram em Jerusalém",3,2,13,13,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ch/14
1CH,14,"Davi derrota os filisteus",8,2,18,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/1ch/14
1CH,15,"Mical despreza a Davi",29,2,18,18,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ch/15
1CH,17,"A aliança do Senhor com Davi",1,2,10,10,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ch/17
1CH,17,"Ações de graças de Davi",16,2,4,4,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ch/17
1CH,18,"Diversas vitórias de Davi",1,2,25,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/1ch/18
1CH,18,"Oficiais de Davi",14,2,20,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/1ch/18
1CH,19,"Davi derrota os amonitas e os siros",1,2,25,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/1ch/19
1CH,20,"Davi conquista a Rabá",1,2,11,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/1ch/20
1CH,20,"Gigantes mortos pelos homens de Davi",4,2,14,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/1ch/20
1CH,21,"O levantamento do censo",1,2,22,22,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ch/21
1CH,21,"Davi escolhe o castigo",7,2,10,10,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ch/21
1CH,21,"Davi erige um altar na eira de Ornã",18,2,13,13,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ch/21
1CH,29,"Salomão proclamado rei",22,23,1,1,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ch/29
2CH,1,"Salomão pede a Deus sabedoria",7,1,14,14,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/1
2CH,1,"As riquezas de Salomão",14,1,14,14,json_ok,txt_ara,https://www.bibliaonline.com.br/ara/2ch/1
2CH,2,"Salomão faz aliança com Hirão",18,1,2,2,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/2
2CH,2,"Os preparativos para edificar o templo",16,1,3,3,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/2
2CH,3,"Os dois querubins",10,1,13,13,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/3
2CH,3,"As duas colunas",15,1,10,10,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/3
2CH,4,"Outros utensílios para o templo",6,1,3,3,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/4
