livro	capitulo	versiculo	linha_txt	titulo_ara	referencias
1KI	3	16	107958	Salomão julga a causa de duas mulheres	
1KI	4	1	108131	Os oficiais de Salomão	
1KI	4	20	108292	A prosperidade do reino de Salomão	
1KI	4	29	108415	A sabedoria de Salomão	
1KI	5	2	108508	Salomão faz aliança com Hirão	
1KI	6	2	108755	Salomão edifica o templo	
1KI	6	14	108934	O Santo dos Santos	
1KI	6	2	109055	Os dois querubins	
1KI	7	1	109232	Salomão edifica palácios reais	
1KI	7	2	109419	As duas colunas do templo	
1KI	7	2	109507	O mar de fundição	
1KI	7	2	109584	Outros utensílios para o templo	
1KI	8	2	109940	Salomão traz para o templo a arca	
1KI	8	2	110103	Salomão fala ao povo	
1KI	8	2	110213	Salomão ora a Deus	
1KI	8	54	110666	Salomão abençoa ao povo	
1KI	8	2	110797	A conclusão da solenidade	
1KI	9	2	110863	A aliança do Senhor com Salomão	
1KI	9	2	111000	As demais atividades de Salomão	
1KI	10	2	111223	A rainha de Sabá visita a Salomão	
1KI	10	2	111388	As riquezas de Salomão	
1KI	11	1	111616	A idolatria de Salomão	
1KI	11	9	111706	A ira de Deus contra Salomão	
1KI	11	14	111785	Deus suscita adversários contra Salomão	
1KI	11	2	112137	A morte de Salomão	
1KI	12	2	112173	Roboão causa separação entre as tribos	
1KI	12	2	112368	Dez tribos seguem Jeroboão	
1KI	12	25	112521	A idolatria de Jeroboão	
1KI	13	1	112634	Um profeta prediz contra o altar	
1KI	14	1	113044	A profecia de Aías contra Jeroboão	
1KI	14	2	113314	O reinado de Roboão, de Judá	
1KI	15	2	113449	O reinado de Abias, de Judá	
1KI	15	2	113529	O reinado de Asa, de Judá	
1KI	15	25	113726	O mau reinado de Nadabe, de Israel	
1KI	15	33	113821	O reinado de Baasa, de Israel	
1KI	16	1	113843	A profecia de Jeú contra Baasa	
1KI	16	8	113948	O reinado de Elá, de Israel, e a conspiração de Zinri	
1KI	16	15	114010	O reinado de Zinri, de Israel	
1KI	16	21	114099	O reinado de Onri, de Israel	
1KI	16	29	114175	Jezabel	
1KI	17	1	114288	Elias prediz grande seca. Corvos o sustentam	
1KI	17	8	114344	Elias e a viúva de Sarepta	
1KI	18	1	114533	Elias apresenta-se diante de Acabe	
1KI	18	41	115038	Elias ora para que chova	
1KI	19	1	115127	Elias no monte Horebe	
1KI	19	19	115346	A vocação de Eliseu	
1KI	20	1	115415	Acabe derrota os siros	
