livro	capitulo	versiculo	linha_txt	titulo_ara	referencias
2TH	1	3	353973	Ação de graças	
2TH	2	13	354232	Ação de graças e exortação	
2TH	3	1	354315	Paulo pede as orações dos tessalonicenses	
2TH	3	17	354492	A saudação final e a bênção	
2TH	3	18	354498	A saudação é de próprio punho: Paulo. Este é o sinal	
2TI	1	1	355930	Prefácio e saudação	
2TI	1	3	355952	Ação de graças	
2TI	2	1	356145	Cristo	
2TI	3	1	356433	Os males e as corrupções dos últimos dias	
2TI	4	1	356610	A fidelidade e o zelo na pregação	
2TI	4	6	356654	O apóstolo prevê o seu martírio	
2TI	4	9	356678	O apóstolo abandonado pelos homens, não por Deus	
2TI	4	19	356779	As saudações finais e a bênção	
3JN	1	1	366484	Prefácio e saudação	
3JN	1	5	366522	O bom exemplo de Gaio	
3JN	1	13	366608	Informações finais. Saudações	
ACT	1	1	321772	Prólogo	
ACT	1	6	321818	A ascensão de Jesus	
ACT	1	12	321878	Os discípulos em Jerusalém	
ACT	1	15	321941	A escolha de Matias	
ACT	2	1	322098	A descida do Espírito Santo	
ACT	2	5	322128	O dom de línguas	
ACT	2	14	322196	O discurso de Pedro	
ACT	2	37	322452	Três mil batizados	
ACT	2	42	322502	Como viviam os convertidos	
ACT	3	1	322585	A cura de um coxo	
ACT	3	11	322679	O discurso de Pedro no templo	
ACT	4	1	322870	Pedro e João presos	
ACT	4	5	322947	Pedro e João perante o Sinédrio	
ACT	4	23	323136	A igreja em oração	
ACT	4	32	323263	A comunidade cristã	
ACT	4	36	323303	A oferta de Barnabé	
ACT	5	1	323329	Ananias e Safira	
ACT	5	12	323464	Os apóstolos fazem muitos milagres	
ACT	5	17	323512	A prisão dos apóstolos	
ACT	5	33	323687	O parecer de Gamaliel	
ACT	6	1	323838	A instituição dos diáconos	
ACT	6	8	323937	Estêvão perante o Sinédrio	
ACT	7	1	324009	A defesa de Estêvão	
ACT	7	54	324641	A morte de Estêvão	
ACT	8	2	324699	A primeira perseguição à igreja	Atos 26.9-11
ACT	8	4	324768	Filipe prega em Samaria	
ACT	8	9	324810	Simão, o mágico	
ACT	8	14	324866	Pedro e João em Samaria	
ACT	8	26	324997	Filipe e o eunuco	
ACT	9	1	325162	A conversão de Saulo	Atos 22.4-11; 26.9-18
ACT	9	10	325279	A visita de Ananias	Atos 22.12-16
ACT	9	20	325385	Saulo prega em Damasco	
ACT	9	26	325478	Saulo em Jerusalém e em Tarso	
ACT	9	31	325528	A igreja cresce	
ACT	9	32	325542	A cura de Eneias	
ACT	9	36	325605	A ressurreição de Dorcas	
ACT	10	1	325689	O centurião Cornélio	
ACT	10	9	325788	Pedro tem uma visão	
ACT	10	23	325945	Pedro vai com eles	
ACT	11	1	326259	A defesa de Pedro	
ACT	11	19	326430	Os discípulos são chamados cristãos em Antioquia	
ACT	11	27	326504	Ágabo prediz grande fome	
ACT	12	1	326579	Herodes persegue a Tiago e a Pedro	
ACT	12	9	326653	Pedro é livre da prisão	
ACT	12	20	326792	A morte de Herodes	
ACT	13	4	326929	Elimas, o mágico	
ACT	13	13	327021	João Marcos volta a Jerusalém	
ACT	14	1	327494	Paulo e Barnabé em Icônio	
ACT	14	8	327579	A cura de um coxo em Listra	
ACT	14	19	327673	Paulo é apedrejado	
ACT	15	1	327794	A controvérsia sobre a circuncisão de gentios	
ACT	15	12	327953	O parecer de Tiago	
ACT	15	22	328068	A decisão enviada a Antioquia	
ACT	15	30	328142	A leitura da mensagem	
ACT	15	36	328223	Paulo e Barnabé	
ACT	16	1	328277	Paulo leva consigo a Timóteo	
ACT	16	6	328315	A visão em Trôade	
ACT	16	11	328390	Paulo em Filipos. Lídia convertida	
ACT	16	16	328442	A cura de uma jovem adivinhadora	
ACT	16	19	328472	Paulo e Silas açoitados e presos	
ACT	16	27	328585	A conversão do carcereiro	
ACT	16	35	328651	Paulo e Silas livres da prisão	
ACT	17	1	328754	Paulo e Silas em Tessalônica	
ACT	17	10	328830	Paulo e Silas em Bereia	
ACT	17	16	328931	O discurso de Paulo em Atenas	
ACT	17	32	329114	Uns zombam, outros creem	
ACT	18	1	329142	Paulo em Corinto	
ACT	18	5	329217	Paulo anuncia a Jesus	
ACT	18	12	329279	Paulo perante Gálio	
ACT	18	18	329364	O final da segunda viagem missionária de Paulo	
ACT	19	1	329519	Paulo em Éfeso	
ACT	19	8	329577	Paulo na escola de Tirano	
ACT	19	23	329740	Demétrio excita grande tumulto	
ACT	20	1	329996	De novo, Paulo visita a Macedônia e a Grécia	
ACT	20	7	330054	Paulo em Trôade	
ACT	20	13	330114	Paulo embarca em Assôs. Chega a Mileto	
ACT	20	36	330384	Paulo ora com eles	
ACT	21	1	330416	Paulo chega a Tiro	
ACT	21	7	330497	Paulo em Cesareia	
ACT	21	17	330585	Paulo chega a Jerusalém	
ACT	21	27	330714	A prisão de Paulo	
ACT	22	1	330879	Paulo apresenta a sua defesa	
ACT	22	22	331106	Paulo livra-se de ser açoitado	
ACT	23	1	331235	Paulo perante o Sinédrio	
ACT	23	11	331376	O Senhor aparece a Paulo	
ACT	23	12	331390	A cilada dos judeus	
ACT	23	26	331565	A carta de Cláudio a Félix	
ACT	23	31	331617	Paulo no pretório de Herodes	
ACT	24	10	331837	Paulo apresenta a sua defesa	
ACT	24	22	331941	Paulo perante Félix e Drusila	
ACT	25	1	332038	Paulo perante Festo. Apela para César	
ACT	25	13	332201	Festo expõe a Agripa o caso de Paulo	
ACT	25	23	332324	Festo, de novo, fala a Agripa	
ACT	26	24	332710	Paulo é interrompido por Festo	
ACT	27	1	332804	Paulo enviado para a Itália	
ACT	27	9	332935	Os perigos da viagem	
ACT	27	27	333146	O naufrágio	
ACT	28	1	333386	A ilha de Malta	
ACT	28	7	333454	Públio hospeda a Paulo	
ACT	28	11	333496	A continuação da viagem	
ACT	28	16	333573	Paulo em Roma	
ACT	28	23	333643	Paulo prega em Roma	
AMO	1	1	268485	Ameaças contra diversas nações	
AMO	2	4	268712	Ameaças contra Judá	
AMO	2	6	268734	Ameaças contra Israel	
AMO	3	1	268879	O castigo contra a maldade de Israel	
AMO	4	1	269068	Ameaças contra as mulheres de Samaria	
AMO	4	4	269100	A cegueira espiritual de Israel	
AMO	5	1	269261	Buscai a Deus e vivei	
AMO	5	21	269509	Deus exige justiça e não sacrifícios	
AMO	6	1	269579	A corrupção e a destruição de Israel	
AMO	7	1	269756	A visão do gafanhoto, do fogo e do prumo	
AMO	7	10	269871	Amós acusado como conspirador	
AMO	8	1	269941	A visão de um cesto de frutos	
AMO	8	4	270006	A ruína de Israel está perto	
AMO	9	1	270151	Os juízos de Deus são inevitáveis	
AMO	9	11	270265	Restauração do Israel espiritual	
COL	1	1	351689	Prefácio e saudação	
COL	1	3	351707	Ação de graças	
COL	1	9	351753	Paulo ora pelos colossenses	
COL	1	24	351930	A missão de Paulo. O mistério do evangelho	
COL	2	8	352093	Cristo e a sua obra redentora	
COL	3	1	352308	A união com Cristo glorificado	
COL	3	12	352433	As virtudes devem ser cultivadas	
COL	3	18	352524	Os deveres da família	
COL	4	2	352594	A oração e a prudência	
COL	4	7	352646	Tíquico e Onésimo	
COL	4	10	352705	As saudações finais	
COL	4	18	352799	Saudação pessoal. A bênção	
DAN	1	1	260052	A educação de Daniel e de seus companheiros	
DAN	2	1	260293	Daniel interpreta o sonho de Nabucodonosor	
DAN	4	1	261444	A loucura de Nabucodonosor	
DAN	5	1	261991	A escritura na parede	
DAN	6	1	262436	Daniel na cova dos leões	
DAN	7	1	262824	O sonho sobre os quatro animais	
DAN	8	1	263234	A visão sobre um carneiro e um bode	
DAN	9	1	263578	A oração de Daniel pelo povo	
DAN	9	20	263868	A profecia das setenta semanas	
DAN	10	1	263991	A visão de Daniel no rio Tigre	
DAN	10	10	264077	Daniel é consolado	
DAN	11	1	264234	Os reis do Norte e do Sul	
DAN	12	1	264832	O tempo do fim	
DAN	12	1	265032	Oseias	
DAN	12	1	265042	Israel	
DAN	12	2	265197	A infidelidade do povo e a fidelidade de Deus	
DAN	12	1	265432	A longanimidade de Deus	
DAN	12	1	265527	Corrupção geral de Israel	
DAN	12	1	265762	Repreensão contra sacerdotes e príncipes	
DAN	12	15	265913	Conversão insincera	
DAN	12	1	266072	Iniquidade dos reis e príncipes	
DAN	12	1	266271	O castigo está próximo	
DAN	12	1	266448	Israel já antes castigado	
DAN	12	6	266722	Os  moradores  de  Samaria  serão  atemorizados  por	
DAN	12	1	266893	O amor de Deus Pai. A ingratidão de Israel	
DAN	12	1	267052	Jacó, modelo para o povo de Israel	
DAN	12	1	267201	Castigo definitivo	
DAN	12	1	267384	Promessas de perdão	
DAN	12	9	267452	Apelo final	
DEU	1	1	57983	O Primeiro Discurso de Moisés na Planície do Jordão	
DEU	1	1	57985	Moisés conta a história de Israel	
DEU	1	9	58061	A nomeação de auxiliares	Êxodo 18.13-27
DEU	1	26	58268	O relatório dos espias recebido com incredulidade	Números 13.25-33
DEU	1	34	58393	O castigo de Deus	Números 14.20-38
DEU	1	41	58480	O povo derrotado em Horma	Números 14.39-45
DEU	2	1	58568	A jornada de Cades até Zerede	
DEU	2	16	58753	A travessia de Ar e Arnom	
DEU	2	26	58880	Vitória sobre Seom, rei de Hesbom	Números 21.21-30
DEU	3	1	59025	Vitória sobre Ogue, rei de Basã	Números 21.31-35
DEU	3	12	59164	Distribuição da Transjordânia	Números 32.33-42
DEU	3	23	59323	A oração de Moisés para entrar em Canaã	Números 27.12-23
DEU	4	1	59399	Moisés exorta o povo à obediência	
DEU	4	41	59934	Três cidades de refúgio	Números 35.9-15; Deuteronômio 19.1-3
DEU	4	44	60007	O Segundo Discurso de Moisés	
DEU	5	1	60059	A repetição dos dez mandamentos	Êxodo 20.1-17
DEU	6	1	60435	O fim da lei é a obediência	
DEU	7	1	60743	Admoestações contra a infidelidade	Êxodo 34.10-17
DEU	7	12	60894	Bênçãos decorrentes da obediência	Levítico 26.3-13; Deuteronômio 28.1-14
DEU	9	1	61391	Moisés lembra aos israelitas o socorro divino	
DEU	9	6	61496	As infidelidades de Israel	Êxodo 32.1-20
DEU	9	25	61715	Moisés intercede pelo povo	Êxodo 32.11-14,30-35
DEU	10	1	61773	As segundas tábuas da lei	
DEU	10	6	61876	Da vocação da tribo de Levi	
DEU	10	12	61936	Exortação à obediência	
DEU	11	8	62172	Os benefícios da obediência	
DEU	11	26	62395	A bênção e a maldição	
DEU	12	1	62504	O lugar do culto verdadeiro	
DEU	13	1	62970	Contra os falsos profetas e os idólatras	
DEU	14	1	63224	Mutilação do corpo proibida	
DEU	14	22	63415	Os dízimos para o serviço do SENHOR	
DEU	15	1	63546	O ano da remissão	
DEU	15	7	63622	Leis a favor dos pobres	Levítico 25.35-38
DEU	15	12	63731	Leis acerca dos servos	Êxodo 21.1-11
DEU	15	19	63815	Leis acerca dos primogênitos do gado	
DEU	16	1	63859	As três festas dos judeus	
DEU	16	1	63861	A Páscoa	Êxodo 23.14-15;  34.18; Levítico 23.4-8
DEU	16	9	63994	O Pentecostes	Êxodo 23.16;  34.22; Levítico 23.15-21
DEU	16	13	64034	Os Tabernáculos	Levítico 23.33-43
DEU	16	18	64137	Deveres dos juízes	Êxodo 23.6-9
DEU	17	1	64193	O castigo da idolatria	
DEU	17	8	64300	Julgamento de questões difíceis	
DEU	17	14	64362	A eleição e os deveres de um rei	
DEU	18	1	64485	A herança e os direitos dos sacerdotes e dos levitas	
DEU	18	9	64616	Contra os adivinhos e os feiticeiros	
DEU	18	15	64684	A promessa do grande profeta	
DEU	19	1	64803	Seis cidades de refúgio	Números 35.9-15; Deuteronômio 4.41-43
DEU	19	11	64982	Execução do homicida	Números 35.16-21
DEU	20	1	65104	Acerca da guerra	
DEU	21	10	65471	Acerca da mulher prisioneira	
DEU	21	15	65511	O direito do primogênito	
DEU	21	18	65551	Acerca dos filhos desobedientes	
DEU	21	22	65612	Os cadáveres serão tirados do patíbulo	
DEU	22	1	65636	Acerca do que se perdeu	
DEU	22	5	65694	Diversas leis	
DEU	22	12	65801	A lei acerca das borlas	
DEU	22	13	65811	Leis da castidade e do casamento	
DEU	23	1	66018	Pessoas excluídas das assembleias santas	
DEU	23	9	66125	Limpeza do acampamento	
DEU	23	15	66191	Acerca de fugitivos, prostitutas e usura	
DEU	23	21	66247	Acerca de votos	
DEU	24	1	66334	Acerca do divórcio	
DEU	24	5	66400	Leis de caráter humanitário	
DEU	25	1	66646	A pena de açoites	
DEU	25	5	66694	O levirato	
DEU	25	13	66825	Pesos e medidas justos	
DEU	25	17	66855	Amaleque será destruído	
DEU	26	1	66891	As primícias da terra	
DEU	26	12	67032	Os dízimos	
DEU	26	16	67094	Exortação à obediência	
DEU	27	1	67189	O Terceiro Discurso de Moisés	
DEU	27	1	67191	Solene promulgação da lei	
DEU	27	11	67303	Maldições do monte Ebal	
DEU	28	1	67474	As bênçãos decorrentes da obediência	Levítico 26.3-13; Deuteronômio 7.12-26
DEU	28	15	67669	Os castigos da desobediência	Levítico 26.14-46
DEU	29	1	68349	O Quarto Discurso de Moisés	
DEU	29	1	68351	Deus faz nova aliança com o povo	
DEU	30	1	68736	Promessas de misericórdia	
DEU	30	15	68941	A vida ou a morte	
DEU	31	1	69015	As Últimas Disposições	
DEU	31	1	69017	Josué, sucessor de Moisés	
DEU	31	9	69138	A lei deve ser lida ao povo de sete em sete anos	
DEU	31	14	69184	A futura rebeldia de Israel	
DEU	31	30	69456	O cântico de Moisés	
DEU	32	48	70007	O Último Dia da Vida de Moisés	
DEU	33	1	70106	A bênção de Moisés	
DEU	34	1	70458	A morte de Moisés	
ECC	1	1	201825	Tudo é vaidade	
ECC	1	4	201843	A eterna mesmice	
ECC	1	12	201913	A experiência do Pregador	
ECC	2	1	202010	A vaidade das possessões	
ECC	2	12	202159	A vaidade da sabedoria	
ECC	2	18	202227	A vaidade do trabalho	
ECC	3	1	202368	Tempo para tudo	
ECC	4	1	202601	As tribulações da vida	
ECC	5	1	202782	A loucura de votos precipitados	
ECC	5	8	202901	A vaidade das riquezas	
ECC	7	1	203231	Comparadas a sabedoria e a loucura	
ECC	7	15	203364	A moderação em tudo é boa	
ECC	7	23	203432	Avaliação da mulher enganosa	
ECC	8	1	203547	A submissão diante do rei	
ECC	8	10	203631	As desigualdades na vida	
ECC	9	1	203766	A sorte parece ser a mesma para todos	
ECC	9	11	203937	Trabalhos sem recompensa	
ECC	9	13	203977	Exemplo que ilustra esta verdade	
ECC	10	1	204056	A excelência da sabedoria	
ECC	11	1	204237	O procedimento prudente do sábio	
ECC	11	9	204321	A mocidade	
ECC	12	1	204382	A velhice	
ECC	12	9	204478	Conclusão	
EPH	1	1	348789	Prefácio e saudação	
EPH	1	15	348915	Paulo ora pelos crentes	
EPH	2	1	349032	Do pecado para a salvação pela graça	
EPH	2	11	349147	Os gentios e os judeus são unidos pela cruz de Cristo	
EPH	3	1	349296	A vocação dos gentios e o apostolado de Paulo	
EPH	3	14	349406	Paulo ora novamente	
EPH	4	1	349503	A unidade da fé	
EPH	4	17	349684	A santidade cristã oposta à dissolução	
EPH	4	25	349744	Exortações à santidade	
EPH	5	3	349853	O fruto da luz e as obras das trevas	
EPH	5	22	350024	O lar cristão: marido e mulher	
EPH	6	1	350153	O lar cristão: filhos e pais	
EPH	6	5	350181	O lar cristão: servos e senhores	
EPH	6	10	350227	A armadura de Deus	
EPH	6	21	350356	Tíquico	
EPH	6	23	350372	A bênção	
EST	1	1	158293	O banquete de Assuero	
EST	2	1	158602	Ester feita rainha	
EST	3	1	159001	Mordecai odiado por Hamã	
EST	3	12	159133	O rei decreta a morte dos judeus	
EST	4	1	159236	Ester promete interceder pelo seu povo	
EST	6	1	159669	Hamã forçado a honrar a Mordecai	
EST	7	1	159846	Ester denuncia a Hamã, que é enforcado	
EST	8	1	159999	Os judeus são autorizados a resistir	
EST	9	1	160266	Os judeus matam aos seus inimigos	
EST	9	16	160459	A Festa de Purim	
EST	10	1	160741	O renome de Mordecai	
EXO	1	1	17670	Os descendentes de Jacó no Egito	
EXO	1	15	17786	As parteiras desobedecem a Faraó	
EXO	2	1	17895	Nascimento e educação de Moisés	
EXO	2	11	18014	Moisés mata um egípcio e foge para Midiã	
EXO	2	23	18155	A morte do rei do Egito	
EXO	3	1	18185	Deus fala com Moisés do meio da sarça ardente	
EXO	4	1	18495	Deus concede poderes a Moisés	
EXO	4	18	18680	Moisés regressa ao Egito	
EXO	5	1	18845	Moisés e Arão falam a Faraó	
EXO	5	6	18889	Faraó aflige os israelitas	
EXO	6	2	19169	Deus promete livrar os israelitas	
EXO	6	14	19277	Genealogias de Moisés e Arão	
EXO	6	28	19410	Moisés fala novamente a Faraó	
EXO	8	1	19730	Segunda praga: rãs	
EXO	8	16	19897	Terceira praga: piolhos	
EXO	8	20	19964	Quarta praga: moscas	
EXO	9	1	20135	Quinta praga: peste nos animais	
EXO	9	8	20197	Sexta praga: úlceras	
EXO	9	13	20282	Sétima praga: chuva de pedras	
EXO	10	1	20523	Oitava praga: gafanhotos	
EXO	10	21	20805	Nona praga: trevas	
EXO	11	1	20926	Deus anuncia a décima praga	
EXO	12	1	21042	A instituição da Páscoa	
EXO	12	37	21481	A saída dos israelitas do Egito	
EXO	13	1	21652	Consagração dos primogênitos	
EXO	13	17	21827	Deus guia o povo pelo caminho	
EXO	14	1	21924	Perseguição de Israel	
EXO	14	15	22107	A passagem pelo meio do mar	
EXO	14	26	22244	Os egípcios perecem no mar	
EXO	15	1	22310	O cântico de Moisés	
EXO	15	20	22503	Antífona de Miriã e das mulheres	
EXO	15	22	22554	As águas amargas tornam-se doces	
EXO	16	1	22614	Deus manda o maná	
EXO	16	11	22747	Deus manda codornizes	
EXO	16	22	22892	O povo de Israel recolhe o maná	
EXO	17	1	23077	A água da rocha em Refidim	
EXO	17	8	23153	Amaleque peleja contra os israelitas	
EXO	18	1	23262	O sogro de Moisés traz-lhe sua mulher e seus filhos	
EXO	18	13	23417	A nomeação de auxiliares	Deuteronômio 1.9-18
EXO	19	1	23584	Deus fala com Moisés no monte Sinai	
EXO	20	1	23894	Os dez mandamentos	Deuteronômio 5.1-21
EXO	20	22	24089	Leis acerca dos altares	
EXO	21	1	24145	Leis acerca dos servos	Deuteronômio 15.12-18
EXO	21	12	24270	Leis acerca da violência	
EXO	22	1	24578	Leis acerca da propriedade	
EXO	22	16	24789	Leis civis e religiosas	
EXO	23	1	24948	O testemunho falso e a injúria	
EXO	23	6	24986	Deveres dos juízes	Deuteronômio 16.18-20
EXO	23	10	25061	O Ano de Descanso	Levítico 25.1-7
EXO	23	12	25095	O Sábado	Levítico 23.3
EXO	23	14	25121	As três festas	Êxodo 34.18-26; Levítico 23.4-21,33-44; Deuteronômio 16.1-17
EXO	23	20	25222	Deus promete a posse da terra	
EXO	24	1	25407	A aliança de Deus com Israel	
EXO	25	1	25614	Deus manda trazer ofertas para o tabernáculo	Êxodo 35.4-9
EXO	25	10	25684	A arca	Êxodo 37.1-5
EXO	25	17	25785	O propiciatório	Êxodo 37.6-9
EXO	25	23	25841	A mesa	Êxodo 37.10-16
EXO	25	31	25938	O candelabro	Êxodo 37.17-24
EXO	26	1	26071	As cortinas do tabernáculo	Êxodo 36.8-18
EXO	26	14	26242	A coberta de peles e as tábuas	
EXO	26	31	26419	O véu, o reposteiro e as colunas	Êxodo 36.35-38
EXO	27	1	26483	O altar do holocausto	Êxodo 38.1-7
EXO	27	9	26576	O átrio do tabernáculo	Êxodo 38.9-20
EXO	27	20	26719	O azeite para o candelabro	Levítico 24.1-4
EXO	28	1	26749	Deus escolhe Arão e seus filhos para sacerdotes	
EXO	28	2	26767	As vestes sacerdotais	Êxodo 39.1-31
EXO	29	1	27264	O sacrifício e as cerimônias da consagração	Levítico 8.1-36
EXO	29	38	27709	Ofertas contínuas	Números 28.1-8
EXO	30	1	27809	O altar do incenso	Êxodo 37.25-28
EXO	30	11	27936	O pagamento do resgate	
EXO	30	17	27992	A bacia de bronze	Êxodo 38.8
EXO	30	22	28067	O óleo da santa unção	Êxodo 37.29
EXO	30	34	28163	O incenso sagrado	
EXO	31	1	28238	Os artífices da obra do tabernáculo	Êxodo 35.30–36.1
EXO	31	12	28369	O sábado santo e as duas tábuas do Testemunho	
EXO	32	1	28437	O bezerro de ouro	Deuteronômio 9.6-21
EXO	32	11	28566	Moisés intercede pelo povo	Êxodo 32.30-35; Deuteronômio 9.25-29
EXO	32	25	28743	Moisés manda matar os idólatras	
EXO	32	30	28811	Moisés intercede pelo povo	Êxodo 32.11-14; Deuteronômio 9.25-29
EXO	33	1	28898	O Anjo de Deus irá adiante do povo	
EXO	33	12	29031	Moisés roga a Deus a sua presença	
EXO	34	1	29182	As segundas tábuas da lei	Deuteronômio 10.1-5
EXO	34	18	29397	As três festas	Êxodo 23.14-19; Levítico 23.4-21,33-44; Deuteronômio 16.1-17
EXO	34	29	29552	O rosto de Moisés resplandece	
EXO	35	1	29630	O Sábado	
EXO	35	4	29695	Deus manda trazer ofertas para o tabernáculo	Êxodo 25.1-9
EXO	35	10	29745	Os utensílios do tabernáculo	Êxodo 39.32-43
EXO	35	30	29992	Deus chama a Bezalel e a Aoliabe	Êxodo 31.1-11
EXO	36	8	30216	As cortinas do tabernáculo	Êxodo 26.1-13
EXO	36	20	30324	A coberta de peles e as tábuas	Êxodo 26.14-30
EXO	36	35	30491	O véu, o reposteiro e as colunas	Êxodo 26.31-37
EXO	37	1	30566	A arca	Êxodo 25.10-15
EXO	37	6	30614	O propiciatório	Êxodo 25.17-22
EXO	37	10	30654	A mesa	Êxodo 25.23-30
EXO	37	17	30753	O candelabro	Êxodo 25.31-39
EXO	37	25	30839	O altar do incenso	Êxodo 30.1-10
EXO	37	29	30914	O óleo sagrado e o incenso santo	Êxodo 30.22-38
EXO	38	1	30932	O altar do holocausto	Êxodo 27.1-8
EXO	38	8	31000	A bacia de bronze	Êxodo 30.17-21
EXO	38	9	31020	O átrio e o reposteiro	Êxodo 27.9-19
EXO	38	21	31175	A enumeração das coisas do tabernáculo	
EXO	39	1	31344	As vestes dos sacerdotes	Êxodo 28.1-43
EXO	39	32	31702	Os utensílios do tabernáculo completados	Êxodo 35.10-19
EXO	40	1	31853	Deus manda Moisés levantar o tabernáculo	
EXO	40	16	31994	O tabernáculo é levantado	
EXO	40	34	32157	A nuvem cobre o tabernáculo	Números 9.15-23
EZK	1	1	242905	A visão dos quatro querubins	
EZK	1	15	243074	A visão das quatro rodas	
EZK	1	26	243184	A visão da glória divina	
EZK	2	1	243269	A vocação de Ezequiel	
EZK	2	8	243341	Visão do rolo de um livro	
EZK	3	4	243420	O comissionamento do profeta	
EZK	3	16	243524	O atalaia de Israel	
EZK	4	1	243693	O cerco simbólico de Jerusalém	
EZK	5	5	243971	As causas do cerco de Jerusalém	
EZK	6	1	244168	Profecia contra a idolatria de Israel	
EZK	7	1	244357	O fim vem! O fim vem!	
EZK	8	1	244689	Visão das abominações em Jerusalém	
EZK	9	1	244967	Os castigos de Jerusalém	
EZK	10	1	245146	A visão das brasas de fogo	
EZK	10	9	245261	A visão das quatro rodas	
EZK	11	1	245460	O juízo de Deus contra os chefes do povo	
EZK	11	14	245603	Promessa da restauração de Israel	
EZK	12	1	245725	O profeta descreve o cativeiro	
EZK	13	1	246055	Profecia contra os falsos profetas	
EZK	13	17	246287	Contra as falsas profetisas	
EZK	14	1	246387	O castigo dos idólatras	
EZK	14	12	246560	A justiça dos castigos de Deus	
EZK	15	1	246731	Jerusalém é qual videira inútil	
EZK	16	1	246840	A infidelidade de Jerusalém	
EZK	17	1	247657	A parábola das duas águias e da videira	
EZK	18	1	247947	A responsabilidade é pessoal	
EZK	19	1	248359	A parábola do leão enjaulado	
EZK	19	10	248478	A parábola da videira arruinada	
EZK	20	1	248552	As abominações da casa de Israel depois do êxodo	
EZK	20	45	249170	A profecia contra o Sul	
EZK	21	1	249218	A espada do Senhor	
EZK	22	1	249604	As abominações de Jerusalém	
EZK	23	1	250023	Oolá e Oolibá, as duas meretrizes	
EZK	24	1	250598	A parábola da panela	
EZK	24	15	250761	A viuvez de Ezequiel	
EZK	25	1	250902	Profecia contra Amom	
EZK	25	8	250993	Profecia contra Moabe	
EZK	25	12	251027	Profecia contra Edom	
EZK	25	15	251067	Profecia contra a Filístia	
EZK	26	1	251138	Profecia contra Tiro	
EZK	27	1	251448	Lamentação sobre Tiro	
EZK	28	1	251870	Profecia contra o rei de Tiro	
EZK	28	20	252103	Profecia contra Sidom	
EZK	29	1	252210	Profecia contra o Egito	
EZK	30	1	252496	O Egito será conquistado pela Babilônia	
EZK	31	1	252814	O destino do Egito	
EZK	32	1	253081	Lamentação contra Faraó, rei do Egito	
EZK	33	1	253518	O dever do verdadeiro atalaia	
EZK	33	21	253784	O castigo de Israel por causa da sua presunção	
EZK	34	1	253973	Profecia contra os pastores infiéis de Israel	
EZK	35	1	254365	Profecia contra o monte Seir	
EZK	36	1	254540	Profecia aos montes de Israel	
EZK	36	16	254711	A restauração de Israel	
EZK	37	1	255031	A visão de um vale de ossos secos	
EZK	37	15	255198	Reunião de Judá e Israel	
EZK	38	1	255369	Profecia contra Gogue	
EZK	38	14	255536	Gogue invadirá Israel	
EZK	39	1	255711	A queda de Gogue	
EZK	39	17	255914	O grande sacrifício do Senhor	
EZK	40	1	256109	A visão do templo	
EZK	43	1	257481	A glória do Senhor enche o templo	
EZK	43	10	257614	O altar dos holocaustos	
EZK	43	18	257753	A consagração do altar	
EZK	44	1	257904	Reformas no ministério do santuário	
EZK	44	15	258135	Os deveres dos sacerdotes	
EZK	44	28	258330	A repartição das terras	
EZK	45	9	258519	Deveres dos magistrados	
EZK	45	18	258688	Ofertas no Ano-Novo	
EZK	45	21	258732	Na Páscoa	
EZK	46	1	258823	Nos sábados e Festas da Lua Nova	
EZK	46	9	258931	Instruções referentes às ofertas	
EZK	47	1	259223	A torrente das águas purificadoras	
EZK	47	13	259384	As fronteiras da terra de Israel	
EZK	48	1	259543	Os limites de sete tribos	
EZK	48	15	259746	Os limites da cidade	
EZK	48	21	259826	Os limites do príncipe	
EZK	48	23	259893	Os limites das outras cinco tribos	
EZK	48	30	259947	As portas da cidade	
EZR	1	1	149616	O decreto de Ciro	
EZR	2	1	149779	A lista dos que voltaram da Babilônia	Neemias 7.5-73
EZR	3	1	150308	É levantado o altar	
EZR	3	8	150400	Lançados os alicerces do templo	
EZR	4	1	150535	Os inimigos fazem parar a construção do templo	
EZR	5	1	150873	As exortações de Ageu e Zacarias	
EZR	5	6	150960	Os adversários consultam Dario	
EZR	6	1	151145	O decreto de Dario	
EZR	6	13	151340	Completado o templo	
EZR	6	16	151388	A dedicação do templo	
EZR	6	19	151424	A celebração da Páscoa	
EZR	7	1	151519	Artaxerxes envia Esdras a Jerusalém	
EZR	8	1	151861	A lista dos que voltaram com Esdras	
EZR	8	15	151986	Esdras manda buscar levitas	
EZR	8	21	152058	O jejum	
EZR	8	31	152209	A chegada a Jerusalém	
EZR	9	1	152285	A oração e confissão de Esdras	
EZR	10	1	152579	Os israelitas despedem suas mulheres heteias	
GAL	1	1	347094	Prefácio e saudação	
GAL	1	6	347130	A inconstância dos gálatas	
GAL	2	1	347331	O apostolado aos judeus e aos gentios	
GAL	2	11	347472	Cristo Jesus	
GAL	3	1	347605	Paulo apela para a experiência dos gálatas	
GAL	3	6	347653	A experiência de Abraão	
GAL	3	15	347754	A lei não pode invalidar a promessa	
GAL	4	1	347947	A nossa filiação em Cristo	
GAL	4	8	348003	O valor transitório dos ritos judaicos	
GAL	4	12	348035	A perplexidade de Paulo	
GAL	4	21	348146	Sara e Agar, alegoria das duas alianças	
GAL	5	1	348279	Ou a lei ou Cristo	
GAL	5	13	348357	A liberdade é limitada pelo amor	
GAL	5	16	348422	As obras da carne e o fruto do Espírito	
